Comment,Designator,Footprint,JLCPCB Part #
"4.7uF 50V X7R (GRM31CR71H475KA12L)","C1,C2,C3",1206,C77096
"1uF 25V X7R (GRM219R71E105KA88D)","C4,C5,C6,C7,C8,C9,C10,C11,C14",0805,C86035
"10uF 10V X5R (CL21A106KPFNNNE)",C12,0805,C17024
"100nF 50V X7R (CC0603KRX7R9BB104)",C13,0603,C14663
"MBR0530 30V 500mA Schottky","D1,D2,D3",SOD-123,C699108
"FH34SRJ-24S-0.5SH(50)",J1,"SMD P0.5mm 24P",C324726
"68uH shielded (SWPA3012S680MT)",L2,"SMD 3x3mm",C83421
"BSS138",Q1,SOT-23,C427380
"4.99k 1% (CRCW08054K99FKEAHP)",R1,0805,C313928
"0R (0805W8F0000T5E)",R2,0805,C17477
"3R 1% (RCA033RFLF)",R3,0603,C22356394
"10k 1% (RCS060310K0FKEA)",R4,0603,C2090962
"100R 1% (0603WAF1000T5E)","R5,R6,R7,R8,R9",0603,C22775
"1k 1% (0603WAF1001T5E)",R10,0603,C21190
"100k 1% (0603WAF1003T5E)","R11,R12",0603,C25803
"0R (0603WAF0000T5E)",R13,0603,C21189
