Designator,Mid X,Mid Y,Rotation,Layer
C1,7.000mm,-17.000mm,180,Bottom
C2,90.000mm,-70.000mm,180,Bottom
C3,78.000mm,-73.000mm,180,Bottom
C4,61.200mm,-79.400mm,180,Bottom
C5,61.200mm,-108.200mm,180,Bottom
C6,61.200mm,-110.800mm,180,Bottom
C7,61.200mm,-113.400mm,180,Bottom
C8,61.200mm,-116.000mm,180,Bottom
C9,61.200mm,-118.600mm,180,Bottom
C10,61.200mm,-121.200mm,180,Bottom
C11,61.200mm,-123.800mm,180,Bottom
C12,47.000mm,-125.000mm,180,Bottom
C13,47.000mm,-121.500mm,180,Bottom
C14,61.200mm,-100.400mm,180,Bottom
D1,84.000mm,-73.000mm,180,Bottom
D2,75.000mm,-121.200mm,180,Bottom
D3,75.000mm,-116.000mm,180,Bottom
J1,6.650mm,-94.205mm,270,Top
L2,73.000mm,-69.500mm,180,Bottom
Q1,68.000mm,-73.000mm,0,Bottom
R1,7.500mm,-24.000mm,180,Bottom
R2,31.000mm,-34.000mm,180,Bottom
R3,59.400mm,-74.200mm,180,Bottom
R4,59.400mm,-71.600mm,180,Bottom
R5,61.000mm,-97.800mm,180,Bottom
R6,61.000mm,-95.200mm,180,Bottom
R7,61.000mm,-92.600mm,180,Bottom
R8,61.000mm,-90.000mm,180,Bottom
R9,61.000mm,-87.400mm,180,Bottom
R10,61.000mm,-84.800mm,180,Bottom
R11,68.000mm,-91.000mm,180,Bottom
R12,68.000mm,-86.000mm,180,Bottom
R13,61.000mm,-82.200mm,180,Bottom
